raceId,circuitId,constructorId,driverId,year,lap,tire_age,milliseconds
1,1,7,15,2009,19,19,104251
1,1,7,15,2009,20,20,104670
1,1,7,15,2009,21,21,104123
1,1,7,15,2009,22,22,155677
1,1,7,15,2009,23,23,152314
1,1,7,15,2009,24,24,139328
1,1,7,15,2009,25,25,94312
1,1,7,15,2009,26,26,91634
1,1,7,15,2009,27,27,90521
1,1,7,15,2009,28,28,89192
1,1,7,15,2009,29,29,89367
1,1,7,15,2009,30,30,89611
1,1,7,15,2009,31,31,88998
1,1,7,15,2009,32,32,89011
1,1,7,15,2009,33,33,108157
1,1,7,15,2009,34,34,94834
1,1,7,15,2009,35,35,89581
1,1,7,15,2009,36,36,90271
1,1,7,15,2009,37,37,90510
1,1,7,15,2009,38,38,90458
1,1,7,15,2009,39,39,90186
1,1,7,15,2009,40,40,89811
1,1,7,15,2009,41,41,90029
1,1,7,15,2009,42,42,90074
1,1,7,15,2009,43,43,90286
1,1,7,15,2009,44,44,90493
1,1,7,15,2009,45,45,92044
1,1,7,15,2009,46,46,90753
1,1,7,15,2009,47,47,90387
1,1,7,15,2009,48,48,90458
1,1,7,15,2009,49,49,90899
1,1,7,15,2009,50,50,88916
1,1,7,15,2009,51,51,88927
1,1,7,15,2009,52,52,89003
1,1,7,15,2009,53,53,90747
1,1,7,15,2009,54,54,90801
1,1,7,15,2009,55,55,90119
1,1,7,15,2009,56,56,111112
1,1,7,15,2009,57,57,132172
1,1,7,15,2009,58,58,150943
1,1,10,16,2009,1,1,158132
1,1,10,16,2009,2,2,98550
1,1,10,16,2009,3,3,91722
1,1,10,16,2009,4,4,91430
1,1,10,16,2009,5,5,91938
1,1,10,16,2009,6,6,92133
1,1,10,16,2009,7,7,91712
1,1,10,16,2009,8,8,93188
1,1,10,16,2009,9,9,92910
1,1,10,16,2009,10,10,92037
1,1,10,16,2009,11,11,93072
1,1,10,16,2009,12,12,91314
1,1,10,16,2009,13,13,91093
1,1,10,16,2009,14,14,91312
1,1,10,16,2009,15,15,91416
1,1,10,16,2009,16,16,90953
1,1,10,16,2009,17,17,91191
1,1,10,16,2009,18,18,94958
1,1,10,16,2009,19,19,105582
1,1,10,16,2009,20,20,124958
1,1,10,16,2009,21,21,135399
1,1,10,16,2009,22,22,116121
1,1,10,16,2009,23,23,104074
1,1,10,16,2009,24,24,134294
1,1,10,16,2009,25,25,94676
1,1,10,16,2009,26,26,94218
1,1,10,16,2009,27,27,91088
1,1,10,16,2009,28,28,91277
1,1,10,16,2009,29,29,90220
1,1,10,16,2009,30,30,88987
1,1,10,16,2009,31,31,89705
1,1,10,16,2009,32,32,89990
1,1,10,16,2009,33,33,91583
1,1,10,16,2009,34,34,116262
1,1,10,16,2009,35,35,97812
1,1,10,16,2009,36,36,90496
1,1,10,16,2009,37,37,90271
1,1,10,16,2009,38,38,89901
1,1,10,16,2009,39,39,89849
1,1,10,16,2009,40,40,89760
1,1,10,16,2009,41,41,89562
1,1,10,16,2009,42,42,89156
1,1,10,16,2009,43,43,88943
1,1,10,16,2009,44,44,89441
1,1,10,16,2009,45,45,89222
1,1,10,16,2009,46,46,89506
1,1,10,16,2009,47,47,89722
1,1,10,16,2009,48,48,89527
1,1,10,16,2009,49,49,89662
1,1,10,16,2009,50,50,89736
1,1,10,16,2009,51,51,90043
1,1,10,16,2009,52,52,90251
1,1,10,16,2009,53,53,91617
1,1,10,16,2009,54,54,91560
1,1,10,16,2009,55,55,92021
1,1,10,16,2009,56,56,114029
1,1,10,16,2009,57,57,130096
1,1,10,16,2009,58,58,132441
1,1,9,17,2009,1,1,184966
1,1,9,17,2009,2,2,109274
1,1,9,17,2009,3,3,99890
1,1,9,17,2009,4,4,93096
1,1,9,17,2009,5,5,92341
1,1,9,17,2009,6,6,91841
1,1,9,17,2009,7,7,91952
1,1,9,17,2009,8,8,92116
1,1,9,17,2009,9,9,92155
1,1,9,17,2009,10,10,92009
1,1,9,17,2009,11,11,91864
1,1,9,17,2009,12,12,94537
1,1,9,17,2009,13,13,92058
1,1,9,17,2009,14,14,94415
1,1,9,17,2009,15,15,91760
1,1,9,17,2009,16,16,91458
1,1,9,17,2009,17,17,97251
1,1,9,17,2009,18,18,103969
1,1,9,17,2009,19,19,106644
1,1,9,17,2009,20,20,98215
1,1,9,17,2009,21,21,124684
1,1,9,17,2009,22,22,95439
1,1,9,17,2009,23,23,96307
1,1,9,17,2009,24,24,131955
1,1,9,17,2009,25,25,96897
1,1,9,17,2009,26,26,93794
1,1,9,17,2009,27,27,92997
1,1,9,17,2009,28,28,92486
1,1,9,17,2009,29,29,92179
1,1,9,17,2009,30,30,91540
1,1,9,17,2009,31,31,91244
1,1,9,17,2009,32,32,92028
1,1,9,17,2009,33,33,92038
1,1,9,17,2009,34,34,91080
1,1,9,17,2009,35,35,110969
1,1,9,17,2009,36,36,95428
1,1,9,17,2009,37,37,88890
1,1,9,17,2009,38,38,88508
1,1,9,17,2009,39,39,89452
1,1,9,17,2009,40,40,89445
1,1,9,17,2009,41,41,90092
1,1,9,17,2009,42,42,91133
1,1,9,17,2009,43,43,91728
1,1,9,17,2009,44,44,97974
1,1,9,17,2009,45,45,92061
1,1,9,17,2009,46,46,92231
1,1,9,17,2009,47,47,92340
1,1,9,17,2009,48,48,92184
1,1,9,17,2009,49,49,91938
1,1,9,17,2009,50,50,91743
1,1,9,17,2009,51,51,93267
1,1,9,17,2009,52,52,100493
1,1,9,17,2009,53,53,93707
1,1,9,17,2009,54,54,92895
1,1,9,17,2009,55,55,101577
1,1,9,17,2009,56,56,159077
1,1,9,17,2009,57,57,152586
1,1,23,18,2009,1,1,95652
1,1,23,18,2009,2,2,90612
1,1,23,18,2009,3,3,89848
1,1,23,18,2009,4,4,89223
1,1,23,18,2009,5,5,88787
1,1,23,18,2009,6,6,88513
1,1,23,18,2009,7,7,88246
1,1,23,18,2009,8,8,88248
1,1,23,18,2009,9,9,88624
1,1,23,18,2009,10,10,88332
1,1,23,18,2009,11,11,88439
1,1,23,18,2009,12,12,88676
1,1,23,18,2009,13,13,88565
1,1,23,18,2009,14,14,88336
1,1,23,18,2009,15,15,88490
1,1,23,18,2009,16,16,88753
1,1,23,18,2009,17,17,88020
1,1,23,18,2009,18,18,88122
1,1,23,18,2009,19,19,115095
1,1,23,18,2009,20,20,113246
1,1,23,18,2009,21,21,126421
1,1,23,18,2009,22,22,185713
1,1,23,18,2009,23,23,151122
1,1,23,18,2009,24,24,143406
1,1,23,18,2009,25,25,92859
1,1,23,18,2009,26,26,90521
1,1,23,18,2009,27,27,90005
1,1,23,18,2009,28,28,89181
1,1,23,18,2009,29,29,88554
1,1,23,18,2009,30,30,88320
1,1,23,18,2009,31,31,88310
1,1,23,18,2009,32,32,88524
1,1,23,18,2009,33,33,88358
1,1,23,18,2009,34,34,88347
1,1,23,18,2009,35,35,88562
1,1,23,18,2009,36,36,88300
1,1,23,18,2009,37,37,88675
1,1,23,18,2009,38,38,88438
1,1,23,18,2009,39,39,88480
1,1,23,18,2009,40,40,88700
1,1,23,18,2009,41,41,88738
1,1,23,18,2009,42,42,88785
1,1,23,18,2009,43,43,88859
1,1,23,18,2009,44,44,89358
1,1,23,18,2009,45,45,89048
1,1,23,18,2009,46,46,89082
1,1,23,18,2009,47,47,112089
1,1,23,18,2009,48,48,93783
1,1,23,18,2009,49,49,89395
